Thorlabs Beam
Version: 9.1.5787.560
Date d/MM/yyyy	29/11/2024
Time h:mm:ss AP	11:48:54 AM

Device: 	BC106N-VIS
S/N: 	M00452329

Device	BC106N-VIS
Serial Number	M00452329

Attenuation	[dB]	0
Exposure Time	[ms]	2.509
Gain		1

Wavelength	[nm]	635

Measurement	Time [hh:mm:ss:zzz]	BeamWidth4SigmaX2[µm]	BeamWidth4SigmaY2[µm]	AzimuthAngle4Sigma[°]	Ellipticity4Sigma[%]	PeakPositionX[µm]	PeakPositionY[µm]	CentroidPositionX[µm]	CentroidPositionY[µm]	ImageSat[%]	TotalPower[dBm]	Ellipticity[%]	EllipseDiameterMin[µm]	EllipseDiameterMax[µm]	Orientation[deg]	
177	11:51:50.509	1476.06	1696.34	15.77	87.01	-2415.52	596.62	-2374.95	487.40	77.79	-44.40	44.88	632.00	1408.17	54.84	
178	11:51:51.515	1406.62	1683.62	20.89	83.55	-2402.62	596.62	-2376.05	490.24	84.14	-44.31	45.03	641.22	1423.91	55.50	
179	11:51:52.518	1410.81	1683.53	20.79	83.80	-2402.62	596.62	-2377.04	489.71	83.35	-44.31	44.79	639.77	1428.27	55.56	
180	11:51:53.537	1375.11	1674.69	22.66	82.11	-2402.62	596.62	-2373.49	489.06	85.33	-44.26	45.13	649.76	1439.63	55.66	
181	11:51:54.507	1502.82	1701.79	13.50	88.31	-2454.22	635.32	-2376.41	483.71	76.21	-44.42	45.90	631.23	1375.20	54.73	
182	11:51:55.514	1465.51	1693.68	17.08	86.53	-2402.62	596.62	-2377.44	486.29	78.19	-44.38	44.93	634.87	1412.98	55.09	
183	11:51:56.520	1384.22	1677.58	22.35	82.51	-2402.62	596.62	-2376.91	486.98	84.93	-44.28	44.99	647.83	1439.97	55.69	
184	11:51:57.512	1428.46	1688.20	19.72	84.61	-2409.07	583.72	-2377.22	488.48	81.76	-44.34	44.52	638.76	1434.80	55.29	
185	11:51:58.515	1399.36	1680.54	21.40	83.27	-2402.62	590.17	-2373.93	489.94	84.14	-44.30	44.91	643.47	1432.93	55.59	
186	11:51:59.524	1386.58	1678.04	22.08	82.63	-2396.17	583.72	-2373.20	488.70	84.14	-44.28	45.07	646.96	1435.61	55.70	
187	11:52:00.521	1399.16	1680.61	21.44	83.25	-2409.07	583.72	-2376.00	490.08	84.14	-44.30	45.02	643.63	1429.49	55.59	
188	11:52:01.514	1394.24	1680.02	21.66	82.99	-2402.62	596.62	-2375.56	489.16	85.33	-44.29	44.91	644.83	1435.70	55.61	
189	11:52:02.507	1472.18	1696.52	16.34	86.78	-2415.52	596.62	-2375.76	488.82	77.79	-44.39	45.02	633.50	1407.23	54.74	
190	11:52:03.514	1377.24	1676.11	22.43	82.17	-2402.62	596.62	-2372.99	488.46	86.12	-44.26	45.22	644.60	1425.42	56.00	
191	11:52:04.520	1386.39	1678.34	22.10	82.60	-2409.07	583.72	-2374.24	489.56	84.53	-44.28	44.88	647.03	1441.59	55.69	
192	11:52:05.512	1391.97	1678.61	21.77	82.92	-2402.62	596.62	-2374.29	489.76	84.93	-44.29	45.08	645.96	1433.03	55.66	
193	11:52:06.513	1457.17	1693.51	17.71	86.04	-2409.07	583.72	-2376.69	486.68	79.38	-44.37	45.07	637.02	1413.29	55.05	
194	11:52:07.505	1421.53	1685.94	19.92	84.32	-2409.07	583.72	-2373.69	489.43	82.95	-44.33	44.74	637.08	1424.09	55.51	
195	11:52:08.514	1397.75	1679.87	21.40	83.21	-2409.07	583.72	-2373.40	489.77	84.14	-44.29	45.00	643.75	1430.60	55.75	
196	11:52:09.506	1387.14	1678.83	22.05	82.63	-2402.62	596.62	-2372.71	489.35	86.12	-44.28	45.09	642.49	1424.95	55.84	
197	11:52:10.511	1388.10	1677.69	21.94	82.74	-2402.62	596.62	-2372.44	490.25	85.33	-44.28	45.15	646.73	1432.45	55.77	
198	11:52:11.516	1395.74	1680.18	21.65	83.07	-2415.52	596.62	-2374.18	491.17	84.14	-44.29	45.07	644.83	1430.74	55.67	
199	11:52:12.505	1416.89	1684.30	20.30	84.12	-2402.62	596.62	-2374.49	489.72	83.35	-44.32	44.68	637.00	1425.73	55.50	
200	11:52:13.513	1401.95	1682.20	21.10	83.34	-2396.17	583.72	-2373.37	488.13	83.74	-44.30	44.99	643.36	1429.93	55.57	
201	11:52:14.519	1387.52	1678.76	21.95	82.65	-2402.62	596.62	-2372.21	489.46	84.93	-44.28	44.99	646.85	1437.92	55.80	
202	11:52:15.509	1378.57	1675.88	22.57	82.26	-2402.62	590.17	-2373.71	489.21	86.12	-44.27	45.18	643.79	1424.84	55.77	
203	11:52:16.514	1385.83	1677.80	22.03	82.60	-2402.62	596.62	-2372.49	489.26	86.12	-44.28	45.21	642.78	1421.75	55.76	
204	11:52:17.516	1346.74	1667.45	24.20	80.77	-2396.17	545.02	-2367.56	486.73	88.10	-44.21	45.31	651.92	1438.82	55.98	
205	11:52:18.509	1390.18	1679.82	21.90	82.76	-2402.62	596.62	-2374.08	489.21	85.33	-44.28	45.30	647.45	1429.28	55.71	
206	11:52:19.512	1388.17	1678.71	21.99	82.69	-2396.17	583.72	-2373.61	488.83	84.53	-44.28	45.04	647.12	1436.63	55.66	
207	11:52:20.531	1382.48	1676.93	22.25	82.44	-2402.62	596.62	-2372.82	488.94	85.72	-44.27	45.16	643.52	1424.85	55.70	
208	11:52:21.510	1440.20	1687.87	18.70	85.33	-2402.62	596.62	-2376.61	487.63	80.97	-44.35	44.94	636.56	1416.57	55.14	
209	11:52:22.518	1532.05	1708.50	10.25	89.67	-2454.22	635.32	-2375.04	481.13	73.83	-44.45	46.11	628.26	1362.57	54.43	
210	11:52:23.522	1633.90	1755.87	-18.47	93.05	-2499.37	738.52	-2356.41	459.21	58.76	-44.53	64.36	631.33	980.94	53.95	
211	11:52:24.513	1382.32	1676.33	22.36	82.46	-2402.62	596.62	-2372.83	489.13	85.72	-44.27	45.22	643.48	1422.93	55.67	
212	11:52:25.506	1365.66	1672.27	23.18	81.66	-2331.67	635.32	-2370.30	488.03	86.12	-44.24	45.32	646.96	1427.43	55.76	
213	11:52:26.514	1387.63	1677.26	22.05	82.73	-2331.67	635.32	-2372.58	489.65	84.93	-44.27	45.05	647.31	1436.78	55.75	
214	11:52:27.514	1392.17	1679.09	21.75	82.91	-2331.67	635.32	-2373.81	489.26	84.53	-44.28	44.99	645.78	1435.27	55.77	
215	11:52:28.506	1404.25	1681.79	21.06	83.50	-2396.17	583.72	-2374.75	488.92	84.93	-44.30	44.67	641.47	1435.90	55.61	
216	11:52:29.543	1406.50	1683.19	20.86	83.56	-2396.17	583.72	-2373.69	488.61	83.74	-44.30	44.85	641.60	1430.55	55.52	
217	11:52:30.517	1453.00	1692.35	17.48	85.86	-2402.62	596.62	-2376.55	487.69	81.36	-44.36	44.83	631.65	1409.14	55.13	
218	11:52:31.504	1457.14	1692.59	17.72	86.09	-2402.62	596.62	-2376.08	485.93	80.57	-44.37	45.23	631.60	1396.33	55.14	
219	11:52:32.545	1610.50	1737.97	-7.36	92.67	-2434.87	693.37	-2364.34	469.01	64.31	-44.52	52.65	622.77	1182.82	53.86	
220	11:52:33.503	1487.23	1700.76	15.11	87.45	-2454.22	635.32	-2374.98	486.40	77.40	-44.40	45.68	629.58	1378.11	54.62	
221	11:52:34.510	1406.84	1682.16	21.10	83.63	-2402.62	596.62	-2373.50	488.46	83.35	-44.30	44.90	642.16	1430.19	55.57	
222	11:52:35.544	1465.17	1693.20	17.09	86.53	-2415.52	596.62	-2377.40	484.68	78.98	-44.38	45.01	635.77	1412.47	55.00	
223	11:52:36.509	1422.15	1686.26	20.03	84.34	-2402.62	596.62	-2372.72	489.17	82.95	-44.33	44.91	637.68	1419.80	55.55	
224	11:52:37.515	1447.48	1691.69	18.38	85.56	-2402.62	596.62	-2373.93	489.00	80.17	-44.36	44.77	633.35	1414.53	54.96	
225	11:52:38.543	1495.55	1700.25	14.04	87.96	-2454.22	635.32	-2372.39	483.30	77.40	-44.41	45.56	627.19	1376.56	54.80	
226	11:52:39.501	1449.17	1692.17	18.04	85.64	-2402.62	596.62	-2374.25	485.64	80.97	-44.36	45.03	633.24	1406.26	55.24	
227	11:52:40.512	1406.07	1682.96	20.89	83.55	-2402.62	596.62	-2371.03	487.29	84.14	-44.30	44.94	642.78	1430.25	55.50	
228	11:52:41.504	1384.70	1678.80	22.25	82.48	-2402.62	596.62	-2370.60	488.64	84.53	-44.27	45.16	648.10	1435.00	55.63	
229	11:52:42.515	1371.37	1674.84	22.90	81.88	-2331.67	635.32	-2368.35	488.27	85.72	-44.25	45.22	645.61	1427.86	55.69	
230	11:52:43.507	1366.15	1673.31	23.22	81.64	-2396.17	583.72	-2368.47	488.15	86.91	-44.24	45.25	646.45	1428.77	55.82	
231	11:52:44.514	1372.87	1676.44	22.78	81.89	-2331.67	635.32	-2369.77	489.19	86.91	-44.25	45.04	644.78	1431.71	55.68	
232	11:52:45.504	1357.00	1670.27	23.67	81.24	-2331.67	635.32	-2366.43	486.92	86.52	-44.23	45.24	648.73	1433.87	55.99	
233	11:52:46.511	1343.44	1666.41	24.40	80.62	-2396.17	545.02	-2365.22	486.17	87.31	-44.20	45.46	653.41	1437.27	56.05	
234	11:52:47.515	1355.69	1670.13	23.72	81.17	-2331.67	635.32	-2367.95	486.67	85.72	-44.23	45.40	649.73	1431.06	56.03	
235	11:52:48.509	1363.00	1671.97	23.38	81.52	-2396.17	590.17	-2368.80	488.84	86.12	-44.24	45.31	647.86	1429.98	55.83	
236	11:52:49.527	1457.92	1695.29	17.01	86.00	-2415.52	596.62	-2376.98	487.33	79.38	-44.36	44.61	635.43	1424.35	54.97	
237	11:52:50.532	1381.04	1672.18	22.91	82.59	-2402.62	596.62	-2367.05	484.28	82.16	-44.25	46.92	675.59	1439.77	55.79	
238	11:52:51.530	1532.08	1715.92	10.53	89.29	-2454.22	635.32	-2374.13	484.27	73.04	-44.44	45.81	626.04	1366.59	54.08	
239	11:52:52.521	1490.94	1701.64	15.14	87.62	-2454.22	635.32	-2377.58	485.88	77.00	-44.40	45.23	628.27	1388.90	54.85	
240	11:52:53.529	1433.75	1689.75	19.45	84.85	-2402.62	596.62	-2377.19	488.23	81.36	-44.34	44.49	637.02	1431.95	55.22	
241	11:52:54.521	1399.62	1681.20	21.50	83.25	-2415.52	596.62	-2375.93	488.96	83.74	-44.30	45.01	643.54	1429.93	55.60	
242	11:52:55.529	1392.90	1680.61	21.89	82.88	-2402.62	596.62	-2374.93	489.07	84.14	-44.29	45.03	645.30	1433.18	55.63	
243	11:52:56.523	1378.22	1676.64	22.60	82.20	-2402.62	596.62	-2373.55	488.81	84.93	-44.27	45.02	648.49	1440.40	55.72	
244	11:52:57.528	1378.53	1677.01	22.63	82.20	-2402.62	596.62	-2372.66	488.99	84.93	-44.27	44.99	649.00	1442.54	55.68	
245	11:52:58.522	1389.18	1680.05	22.03	82.69	-2402.62	590.17	-2373.60	489.33	84.53	-44.28	44.99	646.09	1435.97	55.60	
246	11:52:59.529	1390.97	1680.00	21.96	82.80	-2396.17	583.72	-2374.68	489.37	84.93	-44.29	45.02	646.12	1435.20	55.61	
247	11:53:00.518	1392.37	1680.07	21.89	82.88	-2402.62	590.17	-2374.56	489.68	84.53	-44.29	44.85	645.79	1439.94	55.50	
248	11:53:01.524	1394.59	1680.86	21.74	82.97	-2402.62	596.62	-2373.38	489.06	84.93	-44.29	45.21	647.47	1432.07	55.65	
249	11:53:02.566	1390.11	1679.81	21.99	82.75	-2402.62	596.62	-2373.26	488.87	84.93	-44.29	45.05	646.76	1435.69	55.71	
250	11:53:03.523	1379.85	1677.47	22.51	82.26	-2402.62	596.62	-2373.89	489.91	85.33	-44.27	45.11	648.78	1438.13	55.73	
251	11:53:04.530	1396.01	1681.68	21.71	83.01	-2415.52	596.62	-2374.31	490.48	84.93	-44.29	44.93	644.16	1433.77	55.54	
252	11:53:05.534	1400.84	1682.52	21.46	83.26	-2402.62	590.17	-2374.48	490.00	83.74	-44.30	44.92	643.38	1432.41	55.58	
253	11:53:06.527	1383.92	1678.46	22.42	82.45	-2396.17	583.72	-2373.63	489.47	84.53	-44.28	44.91	647.30	1441.24	55.61	
254	11:53:07.527	1390.62	1679.70	22.16	82.79	-2331.67	635.32	-2374.48	489.56	84.93	-44.28	45.01	646.41	1436.10	55.59	
255	11:53:08.530	1384.75	1678.61	22.31	82.49	-2396.17	583.72	-2374.53	489.25	85.33	-44.28	45.05	647.09	1436.49	55.65	
256	11:53:09.520	1369.01	1674.91	23.22	81.74	-2402.62	596.62	-2373.23	489.18	85.72	-44.25	45.11	645.90	1431.95	55.64	
257	11:53:10.525	1379.27	1677.41	22.54	82.23	-2396.17	583.72	-2374.69	489.11	86.52	-44.27	45.25	644.39	1424.05	55.78	
258	11:53:11.527	1386.97	1679.60	22.30	82.58	-2402.62	590.17	-2375.30	490.26	84.93	-44.28	45.07	647.01	1435.41	55.54	
259	11:53:12.521	1444.96	1691.02	18.82	85.45	-2415.52	596.62	-2376.36	488.17	80.97	-44.35	44.74	634.99	1419.38	54.95	
260	11:53:13.575	1404.16	1682.96	21.31	83.43	-2402.62	590.17	-2375.90	489.87	84.93	-44.30	44.99	642.13	1427.16	55.49	
261	11:53:14.539	1400.91	1681.71	21.63	83.30	-2402.62	596.62	-2375.08	490.09	84.53	-44.30	44.90	643.63	1433.46	55.50	
262	11:53:15.532	1400.72	1682.72	21.45	83.24	-2396.17	583.72	-2375.37	489.50	84.93	-44.30	44.90	642.78	1431.44	55.48	
263	11:53:16.531	1394.18	1681.13	21.78	82.93	-2396.17	583.72	-2374.40	489.46	84.53	-44.29	44.98	645.40	1434.88	55.60	
264	11:53:17.534	1408.28	1683.75	21.02	83.64	-2396.17	583.72	-2375.88	489.95	84.14	-44.31	44.89	640.13	1425.87	55.52	
265	11:53:18.542	1395.14	1682.20	21.77	82.94	-2402.62	596.62	-2375.60	489.33	84.93	-44.29	45.09	645.40	1431.28	55.55	
266	11:53:19.534	1403.33	1682.13	21.28	83.43	-2415.52	596.62	-2376.35	489.61	83.35	-44.31	44.77	641.94	1433.91	55.43	
267	11:53:20.541	1400.30	1681.25	21.48	83.29	-2402.62	596.62	-2376.37	489.85	84.14	-44.30	44.76	642.13	1434.57	55.52	
268	11:53:21.531	1400.66	1681.86	21.49	83.28	-2402.62	596.62	-2376.42	490.13	82.95	-44.30	44.89	642.08	1430.38	55.54	
269	11:53:22.537	1417.25	1685.34	20.53	84.09	-2396.17	583.72	-2376.80	490.19	82.55	-44.32	44.66	641.38	1436.29	55.35	
270	11:53:23.556	1401.20	1682.34	21.52	83.29	-2402.62	596.62	-2375.86	489.87	84.14	-44.30	44.95	642.22	1428.83	55.62	
271	11:53:24.548	1412.81	1685.11	20.75	83.84	-2402.62	596.62	-2376.75	489.38	82.95	-44.31	44.77	638.41	1425.93	55.45	
272	11:53:25.551	1565.38	1723.24	5.56	90.84	-2454.22	635.32	-2373.15	479.56	70.26	-44.47	47.45	622.07	1311.07	54.10	
273	11:53:26.556	1444.31	1691.21	18.58	85.40	-2415.52	596.62	-2377.66	488.34	79.78	-44.36	44.40	640.02	1441.50	54.96	
274	11:53:27.545	1450.45	1693.12	18.30	85.67	-2415.52	596.62	-2376.91	487.76	80.17	-44.36	44.61	632.95	1418.77	54.95	
275	11:53:28.557	1427.97	1689.40	19.87	84.53	-2402.62	596.62	-2374.74	490.85	82.55	-44.34	44.40	637.81	1436.43	55.04	
276	11:53:29.560	1400.45	1682.37	21.49	83.24	-2402.62	596.62	-2373.65	490.34	84.93	-44.30	44.77	642.98	1436.33	55.51	
277	11:53:30.567	1411.03	1684.78	20.80	83.75	-2409.07	583.72	-2374.43	490.75	82.95	-44.32	44.76	639.33	1428.35	55.44	
278	11:53:31.569	1623.27	1747.79	-12.60	92.88	-2486.47	667.57	-2361.88	466.49	62.33	-44.52	58.60	618.76	1055.97	54.18	
279	11:53:32.560	1412.37	1685.47	20.64	83.80	-2402.62	596.62	-2374.10	488.79	84.14	-44.31	44.84	639.78	1426.77	55.46	
280	11:53:33.563	1476.38	1696.42	16.37	87.03	-2454.22	635.32	-2377.78	486.81	77.40	-44.40	45.15	632.32	1400.60	54.81	
281	11:53:34.566	1523.79	1708.26	11.47	89.20	-2454.22	635.32	-2376.96	483.39	74.62	-44.44	45.73	625.09	1366.88	54.55	
282	11:53:35.569	1498.50	1702.48	14.14	88.02	-2454.22	635.32	-2376.55	485.06	77.00	-44.42	45.84	626.78	1367.22	54.71	
283	11:53:36.576	1511.76	1705.74	13.15	88.63	-2454.22	635.32	-2377.46	485.31	75.81	-44.43	45.76	629.01	1374.64	54.49	
284	11:53:37.562	1430.35	1690.20	19.80	84.63	-2409.07	603.07	-2376.22	490.57	81.36	-44.34	44.70	638.36	1428.20	55.11	
285	11:53:38.562	1533.31	1708.09	9.58	89.77	-2454.22	635.32	-2377.78	482.08	73.04	-44.45	45.78	624.52	1364.12	54.53	
286	11:53:39.564	1460.15	1694.35	17.57	86.18	-2402.62	596.62	-2376.89	488.35	78.98	-44.37	44.74	636.10	1421.90	54.94	
287	11:53:40.563	1620.01	1746.21	-11.17	92.77	-2447.77	757.87	-2365.19	469.27	61.54	-44.52	54.98	621.23	1129.88	53.83	
288	11:53:41.566	1418.06	1686.31	20.55	84.09	-2402.62	596.62	-2376.19	490.70	84.14	-44.32	44.70	637.22	1425.41	55.32	
289	11:53:42.582	1443.55	1691.22	18.56	85.36	-2415.52	596.62	-2375.47	491.39	80.57	-44.35	44.73	634.20	1417.88	54.98	
290	11:53:43.587	1439.69	1689.84	18.96	85.20	-2409.07	583.72	-2374.77	490.67	81.36	-44.35	44.91	636.14	1416.62	55.02	
291	11:53:44.579	1427.40	1688.11	19.78	84.56	-2402.62	596.62	-2375.47	490.23	81.76	-44.34	44.68	639.36	1430.96	55.17	
292	11:53:45.595	1427.78	1687.48	19.89	84.61	-2402.62	596.62	-2375.41	490.91	81.76	-44.34	44.61	638.63	1431.48	55.09	
293	11:53:46.582	1451.93	1693.01	18.21	85.76	-2409.07	603.07	-2374.39	490.92	79.78	-44.36	44.70	637.27	1425.65	54.82	
294	11:53:47.575	1449.72	1693.06	18.38	85.63	-2415.52	596.62	-2374.84	489.85	79.38	-44.36	44.68	638.34	1428.58	54.77	
295	11:53:48.592	1434.14	1690.11	19.43	84.85	-2402.62	596.62	-2377.39	489.60	81.76	-44.34	44.46	637.31	1433.49	55.14	
296	11:53:49.584	1417.52	1685.75	20.51	84.09	-2409.07	603.07	-2375.92	489.65	82.55	-44.32	44.57	642.66	1441.94	55.29	
297	11:53:50.591	1403.97	1683.66	21.26	83.39	-2402.62	596.62	-2373.54	490.92	83.74	-44.30	44.86	642.43	1431.92	55.45	
298	11:53:51.579	1429.09	1689.64	19.77	84.58	-2415.52	596.62	-2375.81	490.00	81.76	-44.34	44.52	638.08	1433.22	55.11	
299	11:53:52.582	1441.98	1691.56	19.07	85.25	-2409.07	603.07	-2376.10	490.13	80.17	-44.35	45.12	636.43	1410.37	54.93	
300	11:53:53.574	1418.99	1686.66	20.55	84.13	-2402.62	596.62	-2375.78	489.74	82.16	-44.32	44.61	641.31	1437.58	55.41	
301	11:53:54.579	1384.15	1678.49	22.34	82.46	-2415.52	596.62	-2373.26	489.88	84.53	-44.27	45.28	648.94	1433.19	55.68	
302	11:53:55.588	1428.37	1688.09	19.74	84.61	-2402.62	596.62	-2375.41	489.72	82.16	-44.33	44.56	639.47	1435.05	55.25	
303	11:53:56.586	1419.73	1685.34	20.41	84.24	-2402.62	590.17	-2374.19	490.08	82.55	-44.32	44.50	641.90	1442.61	55.34	
304	11:53:57.574	1421.92	1686.91	20.24	84.29	-2402.62	596.62	-2376.12	489.83	83.35	-44.33	44.76	635.54	1419.82	55.28	
305	11:53:58.581	1416.23	1685.81	20.67	84.01	-2402.62	596.62	-2375.73	489.91	82.95	-44.32	44.90	638.33	1421.78	55.23	
306	11:53:59.574	1402.74	1682.46	21.29	83.37	-2402.62	596.62	-2374.79	489.86	83.74	-44.30	44.94	642.74	1430.36	55.48	
307	11:54:00.579	1422.90	1686.89	20.24	84.35	-2409.07	583.72	-2375.69	490.22	81.76	-44.33	44.77	641.47	1432.65	55.27	
308	11:54:01.578	1460.48	1695.14	17.53	86.16	-2415.52	596.62	-2375.13	489.11	78.59	-44.38	44.63	634.76	1422.36	54.72	
309	11:54:02.585	1452.90	1693.59	18.01	85.79	-2415.52	596.62	-2376.11	490.24	79.78	-44.37	44.66	636.15	1424.45	54.76	
310	11:54:03.571	1392.52	1679.93	21.93	82.89	-2396.17	583.72	-2372.83	489.56	84.93	-44.29	45.10	646.39	1433.31	55.66	
311	11:54:04.576	1402.58	1683.25	21.26	83.33	-2402.62	596.62	-2372.42	490.15	83.74	-44.30	44.96	642.92	1429.92	55.40	
312	11:54:05.581	1416.07	1685.88	20.52	84.00	-2402.62	596.62	-2374.40	490.20	82.95	-44.32	44.85	637.61	1421.63	55.32	
313	11:54:06.585	1421.69	1687.50	20.25	84.25	-2409.07	583.72	-2374.99	490.05	82.55	-44.33	44.43	641.02	1442.67	55.24	
314	11:54:07.576	1436.71	1690.18	19.26	85.00	-2409.07	603.07	-2374.81	490.01	80.97	-44.34	44.76	637.72	1424.90	55.11	
315	11:54:08.582	1423.48	1686.80	20.01	84.39	-2409.07	583.72	-2374.59	489.81	82.16	-44.33	44.62	641.02	1436.76	55.31	
316	11:54:09.576	1433.62	1689.76	19.43	84.84	-2402.62	596.62	-2375.32	489.11	81.76	-44.34	44.73	637.57	1425.36	55.09	
317	11:54:10.582	1401.44	1681.28	21.47	83.36	-2415.52	596.62	-2373.92	489.97	83.35	-44.30	45.02	643.59	1429.59	55.51	
318	11:54:11.580	1453.57	1693.56	17.68	85.83	-2402.62	590.17	-2378.23	489.12	80.17	-44.36	44.79	632.29	1411.71	55.04	
319	11:54:12.578	1568.86	1720.32	3.92	91.20	-2454.22	635.32	-2369.47	478.35	69.47	-44.48	48.35	622.23	1287.00	54.31	
320	11:54:13.579	1475.64	1698.15	16.37	86.90	-2409.07	583.72	-2375.58	487.85	77.79	-44.39	45.06	633.01	1404.92	54.53	
321	11:54:14.599	1422.87	1687.66	20.10	84.31	-2402.62	596.62	-2375.63	489.54	82.55	-44.33	44.47	640.82	1441.13	55.26	
322	11:54:15.586	1424.98	1687.21	20.04	84.46	-2402.62	596.62	-2375.70	489.51	83.35	-44.33	44.70	635.00	1420.72	55.21	
323	11:54:16.584	1478.94	1695.56	15.73	87.22	-2454.22	635.32	-2376.45	485.96	77.40	-44.40	45.34	631.14	1392.02	54.81	
324	11:54:17.573	1428.23	1689.22	19.80	84.55	-2402.62	596.62	-2374.26	490.27	82.16	-44.33	44.70	640.18	1432.10	55.23	
325	11:54:18.576	1451.53	1692.97	18.20	85.74	-2402.62	596.62	-2375.52	490.43	80.97	-44.36	44.83	631.79	1409.35	55.01	
326	11:54:19.584	1426.44	1687.76	19.85	84.52	-2409.07	583.72	-2374.98	489.79	82.16	-44.33	44.67	640.23	1433.28	55.15	
327	11:54:20.589	1435.04	1689.47	19.28	84.94	-2402.62	596.62	-2375.75	490.05	82.55	-44.34	44.77	637.41	1423.87	55.13	
328	11:54:21.581	1447.49	1692.38	18.65	85.53	-2402.62	596.62	-2376.35	489.10	80.97	-44.36	44.87	633.61	1412.24	54.90	
329	11:54:22.574	1434.22	1689.85	19.45	84.87	-2402.62	596.62	-2375.40	489.13	81.36	-44.34	44.55	636.83	1429.41	55.15	
330	11:54:23.579	1426.31	1687.79	19.93	84.51	-2402.62	596.62	-2375.02	489.97	82.55	-44.33	44.65	639.84	1432.87	55.18	
331	11:54:24.585	1419.72	1686.14	20.32	84.20	-2415.52	596.62	-2374.22	489.67	82.55	-44.32	44.62	641.66	1438.01	55.34	
332	11:54:25.579	1508.73	1704.88	13.20	88.49	-2454.22	635.32	-2375.92	485.26	76.21	-44.42	45.77	629.69	1375.80	54.55	
333	11:54:26.584	1615.11	1739.77	-9.06	92.83	-2447.77	693.37	-2364.13	468.47	63.52	-44.52	53.75	621.10	1155.50	53.74	
334	11:54:27.573	1416.45	1686.14	20.50	84.01	-2402.62	596.62	-2372.59	489.79	82.55	-44.32	44.55	642.82	1442.91	55.31	
335	11:54:28.574	1429.92	1688.53	19.73	84.68	-2415.52	596.62	-2375.47	490.71	80.97	-44.34	44.66	637.53	1427.52	54.98	
336	11:54:29.613	1612.55	1739.42	-8.41	92.71	-2447.77	693.37	-2365.54	470.26	63.12	-44.52	53.60	620.64	1157.89	53.93	
337	11:54:30.574	1388.94	1679.41	22.15	82.70	-2402.62	596.62	-2370.42	490.30	84.93	-44.28	45.11	647.39	1435.19	55.65	
338	11:54:31.580	1411.19	1683.63	20.83	83.82	-2402.62	596.62	-2372.39	491.72	82.55	-44.31	44.76	644.58	1440.15	55.30	
339	11:54:32.573	1429.79	1687.83	19.58	84.71	-2402.62	590.17	-2373.58	489.76	81.36	-44.34	44.81	638.44	1424.68	55.09	
340	11:54:33.582	1395.07	1680.87	21.74	83.00	-2402.62	596.62	-2372.00	489.50	84.53	-44.29	45.14	645.57	1430.12	55.64	
341	11:54:34.572	1424.61	1687.43	19.96	84.42	-2402.62	596.62	-2374.20	489.74	82.95	-44.32	44.75	635.98	1421.11	55.23	
342	11:54:35.588	1407.70	1683.66	21.08	83.61	-2402.62	596.62	-2373.40	489.34	83.35	-44.30	44.84	641.42	1430.39	55.47	
343	11:54:36.582	1422.51	1687.35	20.09	84.30	-2409.07	583.72	-2373.79	489.54	82.55	-44.32	44.64	641.72	1437.66	55.28	
344	11:54:37.576	1403.47	1682.66	21.30	83.41	-2409.07	583.72	-2372.56	489.53	83.74	-44.29	44.76	643.15	1436.87	55.37	
345	11:54:38.582	1405.60	1682.86	21.25	83.52	-2402.62	590.17	-2371.80	489.40	83.74	-44.30	44.74	642.77	1436.55	55.44	
346	11:54:39.575	1403.47	1682.03	21.29	83.44	-2402.62	596.62	-2372.70	489.31	83.35	-44.30	44.89	642.89	1432.02	55.44	
347	11:54:40.571	1376.06	1675.37	22.89	82.13	-2396.17	545.02	-2370.86	488.16	86.12	-44.26	45.14	645.14	1429.23	55.61	
348	11:54:41.583	1388.79	1678.70	22.15	82.73	-2331.67	635.32	-2371.70	489.33	84.93	-44.28	45.15	647.18	1433.30	55.59	
349	11:54:42.573	1357.78	1670.52	23.59	81.28	-2396.17	583.72	-2367.37	487.49	87.71	-44.24	45.29	649.76	1434.56	55.99	
350	11:54:43.582	1381.44	1677.85	22.53	82.33	-2331.67	635.32	-2370.92	488.90	85.72	-44.27	45.11	644.37	1428.34	55.73	
351	11:54:44.576	1407.39	1684.11	21.13	83.57	-2396.17	583.72	-2373.48	488.97	84.14	-44.31	44.83	640.43	1428.54	55.41	
352	11:54:45.569	1403.67	1682.69	21.30	83.42	-2402.62	596.62	-2373.47	489.06	83.74	-44.30	44.86	642.04	1431.23	55.43	
353	11:54:46.578	1391.78	1680.10	21.97	82.84	-2396.17	583.72	-2372.86	489.70	84.93	-44.28	44.97	645.88	1436.19	55.40	
354	11:54:47.570	1399.02	1681.92	21.61	83.18	-2402.62	596.62	-2373.51	490.48	83.35	-44.30	44.95	643.39	1431.41	55.46	
355	11:54:48.578	1414.58	1684.86	20.71	83.96	-2409.07	603.07	-2373.80	491.71	82.55	-44.32	44.67	642.56	1438.31	55.31	
356	11:54:49.573	1403.30	1683.41	21.38	83.36	-2402.62	596.62	-2374.76	490.17	84.14	-44.31	44.85	642.00	1431.33	55.48	
357	11:54:50.580	1410.46	1684.40	20.97	83.74	-2396.17	583.72	-2374.88	489.90	83.74	-44.31	44.74	640.16	1430.90	55.39	
